Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
S.No.,College,Role,City type,Previous CTC,Previous job changes,Graduation marks,Exp (Months),CTC
1,Tier 1,Manager,Non-Metro,55523,3,66,19,71406.57653107929
2,Tier 2,Executive,Metro,57081,1,84,18,68005.87063056014
3,Tier 2,Executive,Metro,60347,2,52,28,76764.02027697208
4,Tier 3,Executive,Metro,49010,2,81,33,82092.38687992512
5,Tier 3,Executive,Metro,57879,4,74,32,73878.0977294614
6,Tier 2,Executive,Non-Metro,54340,4,73,31,59950.89224500499
7,Tier 2,Executive,Non-Metro,60298,1,42,46,66602.33930682242
8,Tier 3,Executive,Non-Metro,49944,2,56,37,57768.435036989096
9,Tier 1,Executive,Metro,53124,4,40,37,70083.30436240879
10,Tier 3,Executive,Non-Metro,51141,1,47,60,85648.4814686017
11,Tier 1,Executive,Metro,49497,1,50,25,74914.1460293134
12,Tier 2,Manager,Non-Metro,50197,2,66,62,85219.39143984443
13,Tier 1,Executive,Metro,63234,4,73,23,82910.93833332226
14,Tier 2,Executive,Non-Metro,60059,2,71,56,74350.07820181214
15,Tier 2,Manager,Metro,66487,1,50,27,103595.8285279444
16,Tier 1,Executive,Metro,49292,4,49,19,70729.63281737755
17,Tier 1,Executive,Non-Metro,55400,4,48,52,70051.93691185478
18,Tier 1,Executive,Metro,53089,2,72,23,69403.49340524289
19,Tier 1,Executive,Metro,69345,3,79,56,84710.53254639165
20,Tier 1,Manager,Metro,63508,1,48,30,95879.94275585136
21,Tier 1,Executive,Non-Metro,60057,1,61,60,73487.12624482629
22,Tier 1,Executive,Non-Metro,52402,3,35,30,61597.98193060586
23,Tier 2,Executive,Metro,60180,2,68,18,63119.80037668905
24,Tier 1,Manager,Non-Metro,53422,4,44,34,98586.8252797763
25,Tier 3,Executive,Metro,49857,3,37,37,71502.56405929202
26,Tier 2,Executive,Non-Metro,48682,3,82,59,64320.669102470754
27,Tier 1,Executive,Non-Metro,48516,2,37,63,77310.21815609097
28,Tier 3,Executive,Non-Metro,54363,3,44,55,74825.19814897492
29,Tier 3,Executive,Metro,39636,3,43,23,59230.435281045466
30,Tier 1,Manager,Metro,65172,1,44,31,107138.140531638
31,Tier 1,Manager,Metro,58529,1,65,22,102763.61086073873
32,Tier 1,Executive,Non-Metro,50011,2,72,18,69764.49043163109
33,Tier 1,Executive,Non-Metro,50020,4,75,19,59889.141347399716
34,Tier 3,Executive,Metro,55764,2,64,63,82356.40781791574
35,Tier 1,Manager,Metro,60894,4,80,28,118651.89467975884
36,Tier 3,Executive,Metro,42259,4,37,19,66762.27178435681
37,Tier 3,Executive,Non-Metro,59978,2,75,62,79454.73946709457
38,Tier 1,Executive,Metro,47129,1,41,26,66079.85009910875
39,Tier 1,Manager,Metro,57485,1,77,35,103774.34357263785
40,Tier 1,Manager,Metro,62593,3,71,60,112716.44486928236
41,Tier 1,Executive,Non-Metro,48913,3,41,24,62819.16250520876
42,Tier 2,Executive,Non-Metro,66101,4,81,31,55470.54981877124
43,Tier 2,Executive,Metro,49622,2,73,41,69510.04982211498
44,Tier 2,Executive,Non-Metro,59386,4,46,37,68064.76304752263
45,Tier 1,Executive,Metro,66050,1,35,38,69116.92553999266
46,Tier 1,Executive,Metro,59492,1,69,55,86354.83986197828
47,Tier 1,Executive,Non-Metro,61134,3,72,18,60456.6919564967
48,Tier 3,Executive,Non-Metro,61956,4,54,28,71791.28440745956
49,Tier 2,Executive,Non-Metro,46086,4,50,60,67626.88844343318
50,Tier 2,Manager,Metro,61481,3,79,36,99794.40392512958
51,Tier 1,Executive,Non-Metro,55727,3,79,18,70350.78936706354
52,Tier 3,Executive,Non-Metro,61576,2,73,21,58818.76609195358
53,Tier 1,Manager,Metro,57563,1,64,48,86487.57594249959
54,Tier 2,Manager,Metro,58288,3,84,36,92378.50264087028
55,Tier 3,Executive,Non-Metro,55282,3,60,40,73281.55098825581
56,Tier 3,Manager,Metro,66624,1,63,58,110438.17063632957
57,Tier 1,Executive,Non-Metro,59443,3,52,58,67485.09818482336
58,Tier 2,Manager,Metro,51937,3,64,18,92518.36538643712
59,Tier 2,Manager,Non-Metro,46477,3,37,53,72977.62734501762
60,Tier 3,Executive,Non-Metro,62470,3,60,34,64770.74983224238
61,Tier 1,Executive,Metro,51123,2,52,43,74845.87128543764
62,Tier 2,Executive,Metro,56301,3,58,25,59913.3124270125
63,Tier 3,Executive,Metro,46670,1,69,64,95961.18279409879
64,Tier 3,Executive,Non-Metro,54375,2,82,28,60766.378783355634
65,Tier 3,Manager,Non-Metro,45227,4,40,20,69193.9588273066
66,Tier 1,Executive,Non-Metro,50787,4,81,19,66433.3951820739
67,Tier 1,Executive,Non-Metro,62919,3,42,61,73410.946195465
68,Tier 3,Executive,Metro,51770,3,45,40,68447.631197457
