Employee ID,Salary,Job Type
2100,86135,Permanent
2101,29587,Permanent
2102,39748,Contract
2103,40689,Permanent
2104,66314,Permanent
2105,60066,Permanent
2106,52320,Contract
2107,52949,Permanent
2108,53638,Permanent
2109,27077,Permanent
2110,84304,Contract
2111,26402,Permanent
2112,92006,Permanent
2113,32929,Permanent
2114,95191,Contract
2115,56934,Permanent
2116,87369,Permanent
2117,54102,Permanent
2118,47852,Contract
2119,67560,Permanent
2120,74344,Contract
2121,51651,Permanent
2122,56146,Permanent
2123,89126,Permanent
2124,87541,Contract
2125,55175,Permanent
2126,79169,Permanent
2127,36220,Permanent
2128,61590,Contract
2129,63662,Permanent
2130,43304,Contract
2131,27714,Permanent
2132,72568,Contract
2133,29892,Permanent
2134,90608,Permanent
2135,61955,Permanent
2136,83169,Contract
2137,74903,Permanent
2138,74201,Contract
2139,78694,Permanent
2140,59404,Permanent
2141,71398,Permanent
2142,86734,Contract
2143,47199,Permanent
2144,47939,Contract
2145,45587,Permanent
2146,97719,Contract
2147,62997,Permanent
2148,50441,Permanent
2149,87377,Permanent
2150,70918,Contract
2151,38413,Permanent
2152,92526,Permanent
2153,64872,Permanent
2154,85983,Permanent
2155,50558,Permanent
2156,79270,Permanent
2157,33778,Permanent
2158,83237,Permanent
2159,61939,Permanent
2160,55197,Contract
2161,85414,Permanent
2162,62472,Contract
2163,32172,Permanent
2164,86357,Contract
2165,50945,Permanent
2166,51225,Permanent
2167,99248,Permanent
2168,48094,Contract
2169,50831,Permanent
2170,71067,Contract
2171,57759,Permanent
2172,78859,Contract
2173,91632,Permanent
2174,84859,Permanent
2175,76212,Permanent
2176,25504,Contract
2177,78844,Permanent
2178,56445,Contract
2179,56102,Permanent
2180,96503,Contract
2181,63016,Permanent
2182,94050,Permanent
2183,82871,Permanent
2184,99568,Contract
2185,44737,Permanent
2186,37471,Contract
2187,38206,Permanent
2188,79980,Permanent
2189,91367,Permanent
2190,33787,Contract
2191,58190,Permanent
2192,70085,Permanent
2193,90328,Permanent
2194,95346,Permanent
2195,27723,Permanent
2196,40979,Permanent
2197,33900,Permanent
2198,85288,Permanent
