id,department,role,salary_sar_monthly,age,review_period,manager_rating_1_5,peer_rating_1_5,engagement_1_5,promotion_recommendation,review_summary
E0001,Customer Operations,Customer Support Specialist,8500,26,2025-H2,4.2,4.1,4.3,No,"Consistently resolves billing tickets on first contact; needs more confidence handling escalations with VIP customers."
E0002,Customer Operations,Customer Support Specialist,7800,24,2025-H2,3.6,3.8,3.9,No,"Good tone and empathy; speed is improving, but documentation quality varies between shifts."
E0003,Customer Operations,Senior Customer Support Specialist,10200,30,2025-H2,4.5,4.4,4.2,Yes,"Strong ownership of complex device cases; mentors new joiners and proposes practical knowledge-base updates."
E0004,Customer Operations,Team Leader - Support,14500,34,2025-H2,4.1,4.0,4.1,No,"Maintains service levels under pressure; should delegate more effectively during peak campaign weeks."
E0005,Customer Operations,Quality Assurance Analyst,12000,29,2025-H2,4.3,4.2,4.4,Yes,"High attention to detail; feedback to agents is specific and measurable; helped reduce repeat contacts."
E0006,Customer Operations,Workforce Management Analyst,15000,33,2025-H2,4.0,3.9,4.1,No,"Forecasting accuracy improved; next step is tighter alignment with marketing calendars for promotions."
E0007,Customer Operations,Customer Support Specialist,8200,27,2025-H2,3.9,4.0,4.0,No,"Reliable attendance and steady performance; should expand product knowledge on new plans launched in Q4."
E0008,Customer Operations,Senior Customer Support Specialist,11000,31,2025-H2,4.7,4.6,4.5,Yes,"Top performer in resolution and CSAT; leads weekly huddles and shares effective de-escalation scripts."
E0009,Customer Operations,Customer Support Specialist,7600,23,2025-H2,3.4,3.6,3.7,No,"Positive attitude; needs coaching on policy interpretation to avoid over-promising to customers."
E0010,Customer Operations,Team Leader - Support,15200,36,2025-H2,4.4,4.1,4.2,Yes,"Improved shift handover discipline and reduced backlog; ready for a larger span of control with support."
E0011,Digital Channels,Chat Support Specialist,9000,25,2025-H2,4.1,4.2,4.4,No,"Strong written communication; occasionally prioritizes speed over completeness—needs consistent troubleshooting steps."
E0012,Digital Channels,Chat Support Specialist,8800,28,2025-H2,3.8,4.0,4.1,No,"Handles high volume well; should improve tagging accuracy to strengthen reporting and routing."
E0013,Digital Channels,Social Media Support Specialist,9800,29,2025-H2,4.0,4.1,4.2,No,"Good brand voice and crisis calm; needs faster coordination with network teams during outages."
E0014,Digital Channels,Digital Support Supervisor,16500,37,2025-H2,4.3,4.2,4.0,Yes,"Built a clear escalation matrix; improved response SLAs; should develop second-line leaders for continuity."
E0015,Digital Channels,Knowledge Base Specialist,14000,32,2025-H2,4.6,4.4,4.5,Yes,"Transforms recurring issues into clear articles; measurable impact on self-service deflection rate."
E0016,Digital Channels,UX Content Writer,17500,35,2025-H2,4.2,4.1,4.3,No,"Improved in-app microcopy; next focus is A/B testing discipline and tighter coordination with product managers."
E0017,Digital Channels,Chat Support Specialist,9200,26,2025-H2,3.7,3.9,4.0,No,"Good collaboration; needs stronger ownership of end-to-end resolution instead of early handoffs."
E0018,Digital Channels,Social Media Support Specialist,10100,27,2025-H2,4.4,4.3,4.2,Yes,"Excellent conflict management; maintains professionalism under criticism; supports teammates during spikes."
E0019,Digital Channels,Knowledge Base Specialist,13500,30,2025-H2,3.9,4.0,4.1,No,"Useful updates; should standardize templates and add clearer prerequisites to reduce agent confusion."
E0020,Digital Channels,Digital Support Supervisor,17000,39,2025-H2,4.0,3.8,3.9,No,"Operationally sound; development need is coaching style—feedback sometimes feels corrective rather than enabling."
E0021,Network Operations,NOC Analyst,16000,28,2025-H2,4.2,4.0,4.1,No,"Strong incident triage and escalation timing; should broaden expertise in radio access troubleshooting."
E0022,Network Operations,Senior NOC Analyst,20500,33,2025-H2,4.5,4.3,4.2,Yes,"Leads major incident calls effectively; produces clear post-incident reviews with actionable root-cause items."
E0023,Network Operations,Network Engineer,24000,36,2025-H2,4.1,4.0,4.0,No,"Delivers stable changes; opportunity is proactive capacity planning tied to expected seasonal demand."
